category	variableName	concept_code
obesity_overweight	obesity	E23.6
obesity_overweight	obesity	E.27.8
obesity_overweight	obesity	E66.01
obesity_overweight	obesity	E66.2
obesity_overweight	obesity	E66.09
obesity_overweight	obesity	E66.1
obesity_overweight	obesity	E66.8
obesity_overweight	obesity	E66.9
obesity_overweight	obesity	E68
obesity_overweight	obesity	Z68.3
obesity_overweight	obesity	Z68.30
obesity_overweight	obesity	Z68.31
obesity_overweight	obesity	Z68.32
obesity_overweight	obesity	Z68.33
obesity_overweight	obesity	Z68.34
obesity_overweight	obesity	Z68.35
obesity_overweight	obesity	Z68.36
obesity_overweight	obesity	Z68.37
obesity_overweight	obesity	Z68.38
obesity_overweight	obesity	Z68.39
obesity_overweight	obesity	Z68.4
obesity_overweight	obesity	Z68.41
obesity_overweight	obesity	Z68.42
obesity_overweight	obesity	Z68.43
obesity_overweight	obesity	Z68.44
obesity_overweight	obesity	Z68.45
obesity_overweight	obesity	Z68.5
obesity_overweight	obesity	Z68.54
obesity_overweight	overweight	E66.3
obesity_overweight	overweight	Z68.25
obesity_overweight	overweight	Z68.26
obesity_overweight	overweight	Z68.27
obesity_overweight	overweight	Z68.28
obesity_overweight	overweight	Z68.29
obesity_overweight	overweight	Z68.53
asthma	asthma	J45.909
asthma	asthma	J45.901
asthma	asthma	J45.902
asthma	asthma	J46
generalized symptoms	fatigue_asthenia	R53.1
generalized symptoms	fatigue_asthenia	R53.83
generalized symptoms	fatigue_asthenia	R53
generalized symptoms	fatigue_asthenia	R53+2
generalized symptoms	fatigue_asthenia	R53.82
generalized symptoms	rash_erythema	R21
generalized symptoms	rash_erythema	L53.9
generalized symptoms	rash_erythema	L51.9
generalized symptoms	rash_erythema	L53.8
generalized symptoms	rash_erythema	L50.9
generalized symptoms	lymphadenitis_lymphadenopathy	L04.0
generalized symptoms	lymphadenitis_lymphadenopathy	L04.8
generalized symptoms	lymphadenitis_lymphadenopathy	L04.9
generalized symptoms	lymphadenitis_lymphadenopathy	R59.0
generalized symptoms	lymphadenitis_lymphadenopathy	R59.1
generalized symptoms	lymphadenitis_lymphadenopathy	R59.9
generalized symptoms	dehydration	E86.0
generalized symptoms	dehydration	E86
generalized symptoms	dehydration	E86.1
generalized symptoms	fluid_overload_generalized_edema	E87.7
generalized symptoms	fluid_overload_generalized_edema	E87.70
generalized symptoms	fluid_overload_generalized_edema	R60.1
generalized symptoms	fluid_overload_generalized_edema	R60.9
generalized symptoms	conjunctivitis	H10.9
generalized symptoms	conjunctivitis	H103
generalized symptoms	conjunctivitis	H1030
generalized symptoms	conjunctivitis	H1031
generalized symptoms	conjunctivitis	H1033
generalized symptoms	conjunctivitis	H1089
generalized symptoms	conjunctivitis	H108
generalized symptoms	conjunctivitis	H118
GI SYMPTOMS	abdominal pain	R10.0
GI SYMPTOMS	abdominal pain	R10.2
GI SYMPTOMS	abdominal pain	R10.9
GI SYMPTOMS	abdominal pain	R10.10
GI SYMPTOMS	abdominal pain	R10.11
GI SYMPTOMS	abdominal pain	R10.12
GI SYMPTOMS	abdominal pain	R10.13
GI SYMPTOMS	abdominal pain	R10.30
GI SYMPTOMS	abdominal pain	R10.31
GI SYMPTOMS	abdominal pain	R10.32
GI SYMPTOMS	abdominal pain	R10.33
GI SYMPTOMS	abdominal pain	R10.83
GI SYMPTOMS	abdominal pain	R10.84
GI SYMPTOMS	abdominal pain	R10.1
GI SYMPTOMS	abdominal pain	R10.3
GI SYMPTOMS	abdominal pain	R10.4
GI SYMPTOMS	abdominal pain	R10812
GI SYMPTOMS	abdominal pain	R10813
GI SYMPTOMS	abdominal pain	R10814
GI SYMPTOMS	abdominal pain	R10817
GI SYMPTOMS	abdominal pain	R10819
GI SYMPTOMS	abdominal pain	R10823
GI SYMPTOMS	nausea_vomiting	R11.0
GI SYMPTOMS	nausea_vomiting	R11.2
GI SYMPTOMS	nausea_vomiting	R11.10
GI SYMPTOMS	nausea_vomiting	R11.11
GI SYMPTOMS	nausea_vomiting	R11.12
GI SYMPTOMS	nausea_vomiting	R11.14
GI SYMPTOMS	nausea_vomiting	R11.2
GI SYMPTOMS	nausea_vomiting	R11
GI SYMPTOMS	diarrhea_enteritis_ileitis	K58.0
GI SYMPTOMS	diarrhea_enteritis_ileitis	K58.9
GI SYMPTOMS	diarrhea_enteritis_ileitis	P78.3
GI SYMPTOMS	diarrhea_enteritis_ileitis	K52.9
GI SYMPTOMS	diarrhea_enteritis_ileitis	K58.9
GI SYMPTOMS	diarrhea_enteritis_ileitis	R197
GI SYMPTOMS	diarrhea_enteritis_ileitis	K582
GI SYMPTOMS	diarrhea_enteritis_ileitis	A099
GI SYMPTOMS	apendicitis_peritonitis	K35.30
GI SYMPTOMS	apendicitis_peritonitis	K35.31
GI SYMPTOMS	apendicitis_peritonitis	K35.33
GI SYMPTOMS	apendicitis_peritonitis	K35.80
GI SYMPTOMS	apendicitis_peritonitis	K36
GI SYMPTOMS	apendicitis_peritonitis	K37
GI SYMPTOMS	apendicitis_peritonitis	K65.9
GI SYMPTOMS	hepato_splenomegaly	R160
GI SYMPTOMS	hepato_splenomegaly	R161
GI SYMPTOMS	hepato_splenomegaly	R162
GI SYMPTOMS	ascites	R18
GI SYMPTOMS	ascites	R188
RESPIRATORY SYMPTOMS	mucositis	K123
RESPIRATORY SYMPTOMS	mucositis	K1230
RESPIRATORY SYMPTOMS	mucositis	K1239
RESPIRATORY SYMPTOMS	mucositis	K130
RESPIRATORY SYMPTOMS	mucositis	K137
RESPIRATORY SYMPTOMS	cough	R05
RESPIRATORY SYMPTOMS	cough	R05.1
RESPIRATORY SYMPTOMS	cough	R05.2
RESPIRATORY SYMPTOMS	cough	R05.3
RESPIRATORY SYMPTOMS	cough	R05.8
RESPIRATORY SYMPTOMS	cough	R05.9
RESPIRATORY SYMPTOMS	rhinitis_rhinorrhea_upper_resp_infection	J00
RESPIRATORY SYMPTOMS	rhinitis_rhinorrhea_upper_resp_infection	J069
RESPIRATORY SYMPTOMS	rhinitis_rhinorrhea_upper_resp_infection	R0981
RESPIRATORY SYMPTOMS	rhinitis_rhinorrhea_upper_resp_infection	R0982
RESPIRATORY SYMPTOMS	sore throat	R070
RESPIRATORY SYMPTOMS	sore throat	J02.9
RESPIRATORY SYMPTOMS	pneumonia_bronchitis_lower_resp_infection	J1281
RESPIRATORY SYMPTOMS	pneumonia_bronchitis_lower_resp_infection	J1289
RESPIRATORY SYMPTOMS	pneumonia_bronchitis_lower_resp_infection	J181
RESPIRATORY SYMPTOMS	pneumonia_bronchitis_lower_resp_infection	J189
RESPIRATORY SYMPTOMS	pneumonia_bronchitis_lower_resp_infection	J208
RESPIRATORY SYMPTOMS	pneumonia_bronchitis_lower_resp_infection	J22
RESPIRATORY SYMPTOMS	tachypnea	R06.82
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R060
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.00
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.01
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.02
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R0603
RESPIRATORY SYMPTOMS	respiratory failure	J96.00
RESPIRATORY SYMPTOMS	respiratory failure	J96.01
RESPIRATORY SYMPTOMS	respiratory failure	J96.02
RESPIRATORY SYMPTOMS	respiratory failure	J96.20
RESPIRATORY SYMPTOMS	respiratory failure	J96.21
RESPIRATORY SYMPTOMS	respiratory failure	J96.22
RESPIRATORY SYMPTOMS	respiratory failure	J96.91
RESPIRATORY SYMPTOMS	respiratory failure	J96.92
RESPIRATORY SYMPTOMS	respiratory failure	J96.90
RESPIRATORY SYMPTOMS	ards	J80
RESPIRATORY SYMPTOMS	pulmonary edema	J81
RESPIRATORY SYMPTOMS	pulmonary edema	J810
RESPIRATORY SYMPTOMS	atelectasis	J9811
RESPIRATORY SYMPTOMS	atelectasis	J981
RESPIRATORY SYMPTOMS	pleural effusion	J90
RESPIRATORY SYMPTOMS	pleural effusion	J91
NEUROLOGIC SYMPTOMS	headache	R51.9
NEUROLOGIC SYMPTOMS	headache	R51
NEUROLOGIC SYMPTOMS	headache	G439
NEUROLOGIC SYMPTOMS	headache	G43.909
NEUROLOGIC SYMPTOMS	headache	G44.009
NEUROLOGIC SYMPTOMS	headache	G44.209
NEUROLOGIC SYMPTOMS	headache	G44.219
NEUROLOGIC SYMPTOMS	headache	G44.53
NEUROLOGIC SYMPTOMS	headache	G44.84
NEUROLOGIC SYMPTOMS	headache	G44.85
NEUROLOGIC SYMPTOMS	headache	G43.909
NEUROLOGIC SYMPTOMS	disorientation / confusion	R41.0
NEUROLOGIC SYMPTOMS	disorientation / confusion	R418
NEUROLOGIC SYMPTOMS	disorientation / confusion	R4182
NEUROLOGIC SYMPTOMS	dizziness	R42
NEUROLOGIC SYMPTOMS	irritability	R45.4
NEUROLOGIC SYMPTOMS	irritability	R6812
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G934
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G9340
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G048
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G049
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G0490
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G9349
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G96.9
NEUROLOGIC SYMPTOMS	seizures	R56.9
NEUROLOGIC SYMPTOMS	seizures	G40.909
NEUROLOGIC SYMPTOMS	seizures	G40419
NEUROLOGIC SYMPTOMS	seizures	G40802
NEUROLOGIC SYMPTOMS	seizures	G40804
NEUROLOGIC SYMPTOMS	seizures	G4089
